10 hral|torn.
x   2508 ro|I: = {bro ba} or {bcud}, also {ro bcud}; sbst. SANST taste, flavour, savour: {kha ro} tasty thing; {ro myong ba} to taste; {ro med pa} = {bro ba med pa} SANST insipid, tasteless. {ro la drug ste} there are six different kinds of taste:- {mngar ba} sweet, {skyur ba} sour, {kha ba} bitter, {ska ba} astringent, {tsha ba} acrid, {lan tshva ba} salt. The medicines are also divided into six classes such as {mnga' ba'i mngar ba} sweet of sweet, {mngar ba'i skyur ba} sweet with but a little sour. {ro brgya dang ldan pa'i zhal zas} food (for great men) consisting of one hundred different tastes i.e., of the most exquisite and manifold flavour (Jä.). {ro mchog ldan pa} SANST tasteful, of great relish (S. Lex.). {ro 'jam po} SANST flavoury, flavour.\n\nII: = {ro ma} residue, remains, sediment: {tshag ro} (or {'tshag ro}) that which remains in a sieve or filter, husks, etc.; {ja ro} tea-leaves left in a tea-pot; {tshil ro} the remains of fat after having been melted; {gal ro}, {ro ro}, {so ro} rubbish; {skud ro} the ends or threads in a seam.\n\nIII: 1. physical body, especially a beast's body: {ro rgyab} back; {ro stod} the upper part of the human body, chest and back (Hbrom, {kha}, 82); {ro smad} the lower part of the body; {ro smad sbrul du 'khyil ba} the lower part of the body like a serpent (Jä.). 2. more frq. dead body, corpse, carcass: {mi ro} a dead man, {rta ro} dead horse; {ro'i nyal sa} the place where a corpse is laid, the cemetery; {ro sreg pa} to burn a corpse. {ro khang} (1) the house or place where a dead body is kept before being carried to the cemetery for disposal; (2) SANST place for burning or burying the dead, a favourite spot for conjurations and sorceries of the Tantrik lamas. {ro rgyab pa} lit. one who carries a corpse on his back for disposal to a cemetery, hence the scavengers in Tibet are called rogyab-pa; but the word is ordinarily pronounced ra-gya-pa. {ro sgam} a coffin; {ro drangs nyes pa} defect in the performance of a funeral; {ro yi gnas} SANST the place where dead bodies are disposed of; {ro bug} grave, tomb; {ro bum} a structure resembling a {mchod rton} in which the {ro stod} the upper half of the body is placed in upright position; SANST food offered to the manes of the dead. {ro ras} cotton cloth for wrapping up a dead body before cremation; upon it incantations are frequently inscribed against demons and malignant spirits; {ro langs} SANST the soul of the dead roving on earth, also (evil) spirit, or goblin that occupies a dead body.
x   2520 tsam|SANST, SANST, SANST we extract from Jä. for convenience: [mostly affixed as an enclitic, = {snyed}. 1. as much as, {'di tsam} as much as this, = so much, so many; {mi 'di tsam gsod pa} to kill so many men Glr.; {de tsam} so much; also emphat.: {chos de tsam zhig bshad nas} after having given you so much religious instruction; by way of exclamation: {ci tsam} how much! W., {ci tsam byas} how much have you done! {ji tsam}, {de tsam} how much...so much (as much as) Cs. 2. denoting comparison, as to size, degree, intensity, like, as-as, so-as, so that: {ri rab tsam} like Sumeru (in height) Cs.; {yungs 'bru tsam} as big as grain of mustard-seed; {pus mo nub pa tsam} even to sinking in up to the knees (knee-deep); {nyi ma 'grib pa tsam} so much that the sun was darkened; {mtha'i rgyal po mnga' dbang du 'dus pa tsam byung} he became so (powerful), that he could also subdue, or could have subdued, the neighbouring kings (Glr.). 3. denoting contingency and restriction: perhaps, if need be, almost, only, but, all but: {tshab rung tsam mo} (Vai. so.) this may perhaps be used instead, this may, if need be, supply its place; {btang na nas mkha'i bya yang zin pa tsam gda'} if I let him loose, he might almost catch a bird in the air. {rtags yod pa tsam la} = {rtags dang yod pa la} to every one that has the mark; {rtsa dang nus pa tsam} nothing but muscles and bones; {cha tsam shes kyang} if one knows but a fraction of it, but a little bit; {sems tsam mo} they exist only in our fancy; {tsam du} denoting extent, degree, intensity; as far as, about so far, nearly up to, even to, till, so that: {lam phyed tsam du} about half way. Frq. with verbs: {ba spu langs pa tsam du skrags} he was so frightened that his hair stood on end; {dum bur bcad pa tsam du sdug bsngal gyis gdungs te} tormented by a pain as if he were cut to pieces; {bus ma mthong ba tsam du dga' ste} as glad as a child is when beholding its mother again; sometimes {tsam la} stands for {tsam na} and {tsam du}: {sgrib tsam la} in the shade] Jä. {tsam gyis} instrum: {ngan ngon tsam gyis chog shis pa} content with everything poor as it may be; {tsam du} added to the inf.: {smras pa tsam du} as soon as it had been said. {tsam yang} with a following negative = not the least: {mos pa tsam yang ma byed pa} to pay not the least respect; {nyi ma dang zla ba tsam yang ltar med} neither sun nor moon is to be seen at all (Jä.). 4. {tsam} also = about, just about: {lnga bcu} about fifty. {rtog tsam} in C. = a little, a few; somewhat, rather.
x   2551 kha|I: the second letter of the Tibetan alphabet, being the aspirate of {ka}. In sound it resembles SANST, the second consonant of the Sanskrit alphabet. 1. On registers it indicates the second, or number two. It is attached, often optionally, as an additional syllable to many words, especially in the colloquial: {dgong kha} the price; {cha kha} a thing. 2. It implies {khag} a part: {kha gnyis su} = {khag gnyis su} into two parts (divisions): {kha gang} one part. The sixth part of a tao-ka (Tib. coin) is called kha. 3. Origin, source, &c.: {gser kha} = {gser gyi 'byung khungs} the source of gold, gold-mine: {tshva kha} salt-pit: {rtsva kha} pasture-land, a place where pastures abound. 4. Time: {nyi 'char kha ru dus gdab} (Situ. 21) calculate time from the moment of sunrise; {'gro khar} at the time of going; at the time when he was ready to start: {mo 'chi khar chos la 'dun pa} she at the time of dying became religious, &c. (Pag. 27): {byon khar} when he came; at the moment of arrival: {yong kha} at the time of coming; {sa dang po thob kha ma} = {sa dang po thob ma thag} as soon as he attained to the first stage, i.e., one moment before the attainment: {yun ring gi kha nas} = {yun ring gi sgo nas} by little and little; gradually (Jä.); {re ba'i khar} in the hope of; {thabs kyi kha na} just on the opportunity; "in the nick of time."\n\nII: 1. the front side: SANST face, mouth; also the surface or upper side. {kha} is the ordinary word for "mouth," while {gdong} is the commoner term for "face." Again, to express the surface as well as the front of any inanimate thing, {kha} is the usual form: {brag kha la gangs rgya'o/} icicles on the face of the cliff; {skyil krung mdzad nas chu khar byon} (Pag. 117) sitting in a cross-legged posture he moved on the surface of the water; {'o thug kha la 'od zer gyi ri mo mthong} saw reflection of rays on the surface of milk-broth (Pag. 113). 2. SANST language; conversation; SANST word: {rgyal po bud med kyi khar dbang du song nas} the king having become powerless at (his) wife's word (Pag. 32).\n\nSyn. {smra ba'i sgo}; {za byed}; {gsung bar byed}; {zhal}; {gtam gyi 'byung gnas}; {rjod byed}; {gdong}; {bdud rtsi'i rten}; {skad}; {gtam} (Moon.).\n\nIII: a breadth or a square of cloth, &c.\n\nIn its several inflected forms {kha} is often used as if it were a postposition governing the accusative case. These forms are {kha na}, {kha ru}, and {khar}, and take the meaning of "on," at," beside," &c.: {me khar} on the fire; {khri kha na} on the chair; {phyogs bzhi kha ru} all round.
x   2552 spyod pa|SANST, SANST, SANST, pf. {spyad}, 1. to practise, perform; but signifies rather the completing or completion of an action than the process of performance, and thus is better rendered: to accomplish, to perpetrate; to succeed in. {mi dge ba de dag spyod na} if one perpetrates these sins; {bdag ci spyad pas 'dir skyes} what I did, I am reborn here. 2. to bring into subjection, over-power, coerce, e.g., demons deities, etc., to make subject. {mnga' 'og spyod pa'i 'bangs} subjects brought under control; {sdig pa 'ba' zhig la spyod pa} utterly subject to sin; {sa 'og spyod} subject to earth; {mkha' spyod} subject to heaven. 3. to make use of, to employ, to enjoy: {ba glang nyin par} to use an ox during the day (for ploughing) (Dzl.); {yun ring dus su bde bar spyad kyang} even if one has long enjoyed well-being; {logs spyod pa}, to enjoy, to use, have the benefit of; {bud med la spyod pa} to cohabit with a woman (Dzl.); {log par spyod pa} to violate (a woman); {dga' mgur spyod pa}, very frq. to enjoy a woman. 4. to arrive at the third stage of mystic meditation, to complete or consummate meditation, very frq.; {sems la tsal spyod} meditative exercises.\n\nII: 1. {tshul} SANST, SANST 1. a deed, perpetrated action; a practice, the accomplishing of any action. 2. an object attained, thing done, esp. the third stage of mystic meditation or "consummation," which implies expertness and that the end aimed at has been gained: {lta spyod ya bral te} contemplation and consummation being disentangled one from the other. 3. duty; also conduct, mode, manner: {spyod lam} also {spyod tshul} behaviour; {ngan} or {nyes spyod} bad actions, {bzang} or {legs spyod} good actions (Cs.); {spyod pa zhib pa} 'the strict monastic walk'; {spyod pa rtsing ba} rude, rough, in manners (Glr.); {spyod pas skad cig kyang mi tshugs} of an extremely variable conduct. {de yang dang po rnal 'byor gyi spyod pas chags can gyi gdul bya yid dang ba 'dren pa'i phyir} moreover because it was the duty of a Naljor first to draw into purity of disposition such of the sensual as were destined for conversion; {spyod pa rgya che} SANST magnanimity, noble behaviour. {spyod pa mi gsal ba} SANST [awkward practice]S. {spyod pa yang ngam} = {las kyi mtha' grub bam} (asks the question) whether you have accomplished all that you had to do? {spyod pa'i phun bu} = {grong khyer} a fortified town, a city (Moon.); {spyod babs rtse mthun} generous conduct; {spyod pa} manners. {spyod ldan} accomplished, courteous, polite; {spyod mi ldan} ill-mannered, rude, uncouth.
x   2561 las|I: sbst. col. {las ka} leka, hon., {phyag las} 1. SANST, SANST, SANST, SANST, any action, act, deed, work: {las la dbang ba} SANST to have control of one's own acts; {byi dor gyi las} the act of sweeping; {las bzang} or {las dkar} a good work, virtuous action; {las ngan} or {las nag} a bad action; {lus dang ngag dang yid kyi las} actions, words, thoughts (Dzl.). {las ror ma song ba} = {las ka 'phro ma lus pa} a work that has not been left unfinished: {dka' sbyad thams cad las ror ma song ba zhig bya gsung} (A. 138). {las la 'jug pa'i sngon 'gro dag gi ming} terms signifying preparation, equipment or pioneering operation, also introduction to any work, are:- {sngon 'gro}; {nyer bsdogs}; {sta gon}; {gshom pa}; {rtsom 'gro 'dzugs pa}; {'ju ba}; {zug pa}; {tshugs} (Moon.). {las la zhugs pa} incumbent, one holding an office; {las gzengs} good or distinguished service or work. {las su bsko ba} SANST to employ, to appoint to any work; {las su bskos ba} employed, employment. 2. = karma or the nett effect of actions in one life as transmitted to and exemplified in the next life; retribution, reward or punishment for human actions, frq. (cf. {las rgyu 'bras}); {las kyi me long} mirror of fate, mirror foreshadowing future events; {las kyi bum pa} a certain vessel used in religious ceremonies supposed to ascertain karma {las ma zad pas} because the measure of his deeds was not yet fulfilled. Under this head {las} is also used in the particular sense of: good actions, merit; and an accumulation of {las} is an accumulation of merit such as shall shape favourably the next period of existence.\n\nII: 1. a postp. or case-sign used in analogy to {nas}, or for {nas}, with the meaning: from, from among, out of: {chu las nya 'khra rnams 'dren song} drew piebald fish out of the water. 2. used like {bas} = than. 3. a participial sign or continuative particle annexed to the infinitive form of the final verb of a subordinate clause, to be rendered: when he had done etc., so-and-so, after saying, eating, doing, etc., so-an-so. 4. other uses as follows:- {zla ba lnga las mi sdod} I shall not stay longer than five months (Glr.); {ras yug gcig las mi bdog ste} possessing nothing but one piece of cotton cloth (Dzl.); {nga las med} there is none besides myself; {brnyas 'khyer ba las mi yong} in the end you will probably do nothing else but despise me (Mil.); {gsa' gcig las rje btsun ma mthong} we saw nothing but a snow-leopard, your reverence we did not see (Mil.); {mi phan zhing gnod pa las med} it is good for nothing, it only does harm Mil.
    2567 gnas|SANST, SANST, SANST; SANST; SANST; 1. a place, locality, spot or piece of ground; and hence, also: an abode, dwelling-place; also a temporary lodging: {gnas gtong ba} or {shom pa} to give shelter to, to lodge, a person; {gnas med par 'gyur ba} to become homeless; {gnas po}, colloq. "na-bo" a landlord, inn-keeper; {gnas tshang} a lodging house; {gnas mal} sleeping place; {gnas su song ngo} they returned to their place, their home; {skye gnas} birth-place. 2. a holy place, place of pilgrimage; a monastery: {gnas nas dbyung ba} to turn out of a monastery, also excommunication. {gnas spe ba} id. 3. a clerical dignity or religious personage; {gnas sbyin pa} to confer priestly status on a man. 4. object, heading, point: {gad mo'i gnas} an object of laughter; {ngo tsha'i gnas} that which ought to be an object of shame (Schtr.). 5. division, section; sphere, province: {rig pa'i gnas lnga} the five classes of science. {gnas} appears also to mean any definite division of places, things, or beings: and even: sort, variety—almost equivalent to {rigs}, but not technically the same. Thus the following definitions are termed {gnas rnams}:- (1) {lus tha dad cing 'du shes tha dad pa dag dper na mi rnams dang lha cig go} {/} SANST [varieties of bodies obtain various names, such as the gods are different from men.]S. (2) {lus tha dad la 'du shes gcig pa dag dper na tshangs ris kyi lha dag dang po byung ngo /} SANST [varieties of bodies obtain the same name, such as the Brahmakayika and Prathamavinibptta are both called gods]S. (3) {lus gcig la 'du shes tha dad pa dag dper na 'od gsal ba rnams so/} SANST [the same sorts of bodies assume different names such as the various (64) classes of the Abhasvara deities]S. (4) {lus gcig la 'du shes gcig pa dag dper na dge rgyas kyi lha rnams so} SANST [the same sort of body assumes the same name such as the Shubhakptsua class of the gods]S. So, likewise, these spheres of external existence are classed as {gnas}: (1) {nam mkha' mtha' yas skye mched/} SANST [the infinite expanse of the sky, the first of the Arupa Brahma loka]S. (2) {rnam shes mtha' yas skye mched/} SANST [unlimited realm of knowledge, the second of the Arupa Brahma loka]S. (3) {ci yang med pa'i skye mched} SANST [source of nothingness, the third of the Arupa Brahma loka]S. (4) {'du shes med 'du shes med min skye mched/} SANST [the sphere of knowledge and non-knowledge, the fourth of the Arupa Brahma loka]S. (5) {'du shes med pa'i sems can rnams so/} SANST [the knowledgeless animated beings, the 11th or 13th of the Rupavacara gods]S.
x   2580 'jig rten|I: = {'khor ba} SANST 1. the transmigratory existence (Moon.); {'jig rten las 'das pa} or {'khor ba las 'das pa} passed out of the world. 2. symbolically the number three (Rtsii.).\n\nII: SANST receptacle of all that is perishable. 1. the external world, the universe; {'jig rten gyi lha} the god of the world (who is also subject to death); {'jig rten las 'das pa} one that has escaped from this world, emancipated, blessed; {'jig rten gsum} the three divisions of the world: earth, the heavens and hades; {'jig rten gyi bya ba} worldly things or affairs; {'jig rten dgos pa'i bslab bya} useful maxims of life, moral rules; {'jig rten gyi chos brgyad} SANST the eight worldly objects:- (a) {rnyed pa} SANST gain; (b) {ma rnyed pa} SANST loss; (c) {snyan pa} SANST fame; (d) {mi snyan pa} SANST notoriety or ill-fame; (e) {smad pa} slander or scandal; (f) {bstod pa} SANST praise; (g) {bde ba} SANST happiness; (h) {sdug bsngal} SANST misery. {'jig rten gyi mdzad pa lnga} the five temporal acts of a Buddha:- Conception in the mother's womb, birth, youthful achievements, marriage, and reigning over the kingdom. {'jig rten las 'das pa'i mdzad pa lnga} the five works leading to the passing out of the world of a Buddha: (a) {rab tu byung ba} (SANST) renunciation; (b) {dka' ba spyad pa} (SANST) asceticism; (c) {chos 'khor bskor ba} (SANST) turning the wheel of Law, i.e., preaching religion; (d) {cho 'phrul ston cing bdud btul ba} subduing the devil (Mara) by exhibiting religious miracles; (e) {sangs rgyas pa} the attainment of Nirvana. 2. world, as a more general term: {bde ba can gyi 'jig rten} the Sukhavati or the world of bliss. There are two kinds of worlds:- (a) {ma dag pa'i 'jig rten} the impure or defiled world, i.e., the world of sin; (b) {dag pa'i 'jig rten} the sanctified world, i.e., the world of purity. Most Buddhists include our world, in the Madag-pahi Hjig-rten. The following five include the pure worlds or Dag-pahi hjig-rten: (a) {bde bar gshegs pa bdun gyi zhing khams} the worlds which have been sanctified by the presence of the seven Sugata Buddhas or the happily-passed-away Buddhas; (b) the worlds presided over by the Buddhas of the ten quarters and the five Dhyani Buddhas; (c) the world of beatitude called {mngon dga' ba} or {mngon par dga' ba'i zhing khams}; (d) the world called {padma can}; (e) De-wa-chan or the World of Bliss of the Northern Buddhists (Sorig.). Our present world is divided into two:- (a) {phyi snod kyi 'jig rten} the physical or inorganic world, (b) {nang bcud kyi 'jig rten} the living or animated world.
x   2592 'byung ba|I: SANST, SANST 1. vb., pf. imp. {byung} (intrs. of {'byin pa}) to come forth, arise, spring up, to emerge, to appear: {'khor ba las 'byung ba} to be set free; to go forth, set out: {nga rang 'byung mchod pa la 'gro} I shall set out for the purpose (of conducting) religious service (A. 71.). {phyi rol tu 'byung ba} to come out into the open air; to make one's appearance (Dzl.); {srod la byi dur glog ma sprin byung nas slob dpon gyi dgongs pa gshig} at dusk there came forth moles and lightning and clouds and the teacher's train of thought was dissipated (Pth. 127); {gnam du chu 'bab pa'i skad 'byung zhing} a noise of falling water arising in the air; {nga la rmi lam bzang po byung} I have had an auspicious dream (Mil.); not always intrs. in practice: {de dag las bzlog pa'i yon tan 'byung dgos pa'i phyir} as it will be necessary to produce the means of repelling these others; {ra ma bzi ba byung de} he who is found not intoxicated (Glr.); {ngan pa byung} it proved to be a failure (Mil.); {de nas byung} it derived its origin, it arose from that; {'bras bu 'byung ba'i shing} trees on which fruit is growing; {khye'u zhig byung 'dug} by that time a boy had come forth; {gnyis su byung} they became two, they split in two (systems of doctrine); {rab tu 'byung ba} to become a priest. {ro 'di rnams la ci byung ba yin} what has happened to these corpses, what is their history? (Glr.); {bla ma la yang byung lags sam} did it also happen to the lama? 2. as an auxiliary indicating the past tense, the pf. {byung} is very common, and in C. has largely re-placed the use of {song} in that sense: {bla ma phebs byung} the lama has arrived. Also occurs as the past of the sbst. vb.: {khyi de dkar mo byung} the dog was white; {de'i tshe kho la kha zhi ba zhig byung} he had a mild look then. {'byung rkyen snyan zhu} the petition about the causes, consequences. {'byung khams bzang ba} or {phung khams bzang ba} = {deng dus 'byung khams bzang zhing} (Yig. k. 87).\n\nII: 1. in the mystic language of the four guardian kings of the world (Caturmaha raja kayika deva) signifies {sdug bsngal} misery, mundane sufferings. Also, {'gog pa} = {kun 'byung ba bsags pa} = {lam} way, method (K. ko. {ka}, 235). 2. sbst. a coming forth, an originating, the state of being, {'byung nyid} the true state of a case. 3. an element, of which are usually four: {'byung ba bzhi'i gnod pa} damage done by the four elements, i.e., by fire, water, wind and earth; {'byung ba bzhi'i lus} the physical body; {'byung bzhi snyoms} the even state of the physical constitution, i.e., good health (Moon.).
x   2601 rkyen|I: In Buddhist science this important term expresses any co-operating influence which serves to shape and bring about an event as distinguished from {rgyu} rgyu, its direct and obvious cause. In plain language, rgyu is the primary cause of anything, but rgyu is frequently controlled and modified by a co-ordinate influence known as rkyen. As a medical term, according to Jäschke, rkyen is differentiated from rgyu in that it indicates the pathological or secondary cause of disease, while the latter word denotes its primary or anthropological cause. However, while assigning to rkyen the primary meaning of "cause" and "occasion" in the qualified sense of being contributory only to that which comes to pass, we have to note the apparently contradictory signification—effect, occurrence, incident, event. So we meet with {rkyen ngan pa} unfortunate accident; {rkyen ngan pas 'das} he has perished by an evil incident; {tshe 'dir byung ba'i rkyen ngan rnams} the adversities arising in this life; {rang mi 'dod pa'i rkyen} an event disagreeable to one's own self; {blo bur rkyen} a sudden accident; {rkyen de la brten nas} owing to that circumstance; {med pa'i rkyen la bltas te} or {brten te} considering the case of not being, not having; thus {nad kyi rkyen dang 'chi ba'i rkyen} stands also for a cause of disease and of death; {'gal rkyen} any circumstance or event averse to the success of an action, any obstacle, anything opposed or hostile to the existence of another thing: {mthun rkyen} a happy, favourable circumstance; furtherance; assistance; supply; {mthun rkyen byed pa} to assist in; to help to; {mthun rkyen 'dzom pa} altogether successful.\n\nII: SANST, SANST In Buddhist metaphysics there are four kinds of {rkyen} rkyen, viz., (1) {rgyu'i rkyen} SANST relation of causality; (2) {de ma thag pa'i rkyen} SANST relation of posteriority; (3) {bdag rkyen} SANST relation of subordination or conditionality; (4) {dmigs rkyen} SANST relation of dependence (as for instance the relation of parts to the whole and vice versa); {rig pas gzugs can gyi rkyen byed na bdag rkyen gcig pos byed/_gzugs can gyis rig pa la rkyen byed na dmigs rkyen dang /_bdag rkyen gnyis ka tshang dgos/_gzugs can gyi gzugs can la rkyen byed na rgyu rkyen dang bdag klon gnyis kas byed do/}. Besides the above four there are two other sub-divisions of {rkyen}, viz., {nyer len} SANST and {lhan gcig byed} SANST (Loo. 16).\n\nIII: misfortune; ill-luck; calamity: {rkyen klog pa} to avert a misfortune; {rkyen thegs pa}to endure misfortune; {rkyen thub pa} to be equal to the occassion, cope with calamity.
x   2646 lta ba|I: vb. pf. {bltas}, fut. {blta}, imp. {ltos} or {blta} resp. {gzigs pa} 1. to look, take a look at, espy. {lta ba} implies a special visual act, whereas {mthong ba} is the general power or habit of seeing, beholding, etc.: {ci 'dra 'dug bltas pas} when your have seen what it is like; {chung mas khye'u blangs te bltas na/_khye'u mtshan dang ldan bzang po zhig nas/_rab tu dga' ste} the wife, having taken the boy and looked at him, because he was a fine comely child, greatly rejoiced (Dzl.); {bltas na mi mthong} though you look (for it), you do not see it (Mil.); the imp. {ltos shig} look! in C. is often both written and spoken {ltos shog} and we even hear {ltos dang} "tö-tang" with the same meaning. {blta na sdug pa} pleasing when looked upon; also name of the chief city of Indra on the top of Mount Sumeru; {lta ru song} go there and look (at it)! {phyogs bzhir phar lta ba} to gaze all round; {phan tshun du lta ba} to look up and down; {phyi mig} or {phyir lta ba} to look back. Colloq. in the sense of to look at lta-wa is usually preceded by {mig} the eye: {de la mig lta nas} looking at it. 2. to look for, to search for; in this sense common in W., e.g., {rta ma leb pas lta ba la song} the horse has not come, go and look for it. 3. to view mentally, to consider, look into; also to examine, investigate: {ngas ma bltas na} if I did not examine it; {rtsa lta ba} to feel a person's pulse; {phan nam blta ba} to consider if it will be useful. {su che blta} let us see who is greater or taller; {rting sor blta} we shall see that afterwards; {yang dag par lta ba} to examine or search into minutely; {chod lta ba} is the expression most in use for to examine, to test, to try; {du 'dug blta} let us see how many there are; {lta rtog byed pa} to investigate closely. 4. a fourth and not unimportant usage of {lta ba} is to express a stage in mystic meditation wherein it means to be in the first or contemplative stage, during which one must be especially oblivious to all sounds and to all that is occurring around one, the sight and that limited to a single object being the only sense in action: {khyi'i skad mchil pa'i sgra tsam du thos dgos ma rgyu/_thos pa yod na lta ba min/} there must not be attention to even so much as the bark of dog or the chirp of sparrow; if there is hearing, there is no contemplation (Mil. {ka}).\n\nII: sbst. 1. a look, the act of looking. 2. contemplation (mystical). 3. SANST opinion, doctrine, theory, philosophical system, school. {rtag par lta ba} the theory of perpetual existence or duration (of worldly things). {ngan par lta ba} = {log lta} a false opinion or heretical view (Jä.).
    2683 phyir|adv. again, back: {phyir 'deng ba} to return [1. adv. back, towards the back, behind; {phyir 'ong ba} to come back, to return (Dzl.); used in a special sense rel. to re-birth: {lan gcig phyir 'ong ba} once to return (to this life); {phyin 'dug pa} to remain behind, at home (Dzl.); {phyir 'jog pa} to leave behind, at home, to lay aside, to lay up (Dzl.); again (rursus), {phyir lang ba} to get up again, after having fallen; {phyir ldog pa}, {log pa} to come back again, to return; {phyir ldog pa'i lam} the way back, the return (Dzl.); {phyir mi ldog pa} the not taking place of relapses, the prevention of them (Lt.); {phyir zlog pa} to bring back, to draw off, to divert from; {phyir sos par 'gyur ba} to return to life; {phyir sangs nas} having recovered (Dzl.); {phyir ma la smras pa} he replied to his mother (Dzl.); {phyir log skyon pa} to make one ride backward with the face to the horse's tail. 2. postp., e.g., behind, after: {nga'i phyir e 'gro} (Pth.) will you follow me?] from Jä.\n\nII: SANST outside, forth, out; {phyir la} from an interior to an exterior place, {phyir bskrad pa} to cast out; {kun phyir 'thon te} all coming forth; {phyir 'byung ba} to come out; {phyir skyur ba} to cast out, {phyir bstan nas} turned inside out (the lining of a coat) (Glr.); {khang pa las phyugs phyir bdas} drove forth the cattle from the house; {phyir mar me bzhag yod} placed the lamp outside; {sgo phyir ma gtong ba} not to let out at the door (Jä); {phyi la khyi btang} let out the dog. {phyir rgol} outside aggressor, foreign foe; {phyir 'jil ba} to expel; {phyir bsrings} sent off. {phyir mched pa} to reveal a secret, to spread or let out confidential news or information. {phyi nang gi gzhung don gal che rnams rang gi bu spun pha ma mchis brang sogs nye 'brel su la yang phyir mched mi byed} the important policy of the state whether of public or private interest should not be revealed to one's own son, brother, parents, wife, and near relations, or to any whomsoever (D. Shel. 13).\n\nIII: or {phyir du} 1. SANST, SANST postp. because of, on account of, by or through: {ci'i phyir khyod 'di ltar gyur} through what have you become like this (Dzl.); {ci'i phyir} why, wherefore; {nga rang kho pheb pa'i phyir slebs song} I have come because he came; {gnod pa'i phyir du} because of having done you harm (Mil.). 2. for, for the sake of, in order to, for the purpose of: {yas nas phub pa'i phyir rgod kyi rtse rgyal btsugs} the plumes of vultures were stuck up in order to roof him in overhead (Pth. 128b.); {gdul bya dang ba 'dren pa'i phyir} with the object of attracting converts; {dgos pa'i phyir} because it is necessary.\n\nIV: adv. afterwards, subsequently.
    2694 yi dvags|(acc. to Bon = {zas yid la btags pa} or {yi btags} those that always think of food) SANST, a class of spiritual beings of the Buddhist Bhavachakra or cycle of existence, condemned to suffer torments of hunger and thirst in the ghost-world, a grade of punishment little less severe than the full torments of hell. They are usually represented as giants with huge bellies and very narrow throats hardly fitted to swallow the tiniest particles. The different kinds of Yi-dag or Preta are: (1) {gul bum} SANST; (2) {sha za} SANST; (3) {'byung po} SANST; (4) {srul po} SANST; (5) {lus srul po} SANST; (6) {smyo byed} SANST; (7) {skyem byed} SANST; (8) {brjed byed} SANST; (9) {grib gnon} SANST; (10) {srin po} SANST; (11) {rnam gru'i gdon} SANST; (12) {bya'i gdon} SANST. [(1) headless demon; (2) ignis-fatuus; (3) ghost; (4) a female demon causing disease in children; (5) a goblin; (6) insane devil; (7) a leaping demon; (8) a demon causing forgetfulness; (9) the shadow; (10) a malignant spirit; (11) the star Revati; (12) causer of destruction to birds]S. Again, these Preta are divided into four classes according to the nature of the torments they are destined to undergo for the expiation of their sins:- (1) {zas skom la phyi'i sgrib pa yod pa} those that are outwardly obstructed from the use of food and drink. When these wretched beings go the springs, lakes, or tanks to drink water they are chased by hosts of demons armed with javelins and spears; and the water appears to them as repulsive and foul as pus. (2) {zas skom la nang sgrib yod pa} those that are inwardly obstructed from eating and drinking; although great is their appetite and hunger when they get food and drink they cannot enjoy them on account of their gullet becoming exceedingly contracted. (3) {me lce phrang ba can zhes bya ba} those that are called fire-flame wreathed Preta who, as soon as they take food or drink, become changed into flames of fire. (4) {ljan ljin za ba} those that subsist upon mucous, ordure and urine, etc.; some of them eating their own flesh and blood when they fail to satisfy their hunger by eating filth. Acc. to Mdsod-bgrel, the Pretas have an abode in the interior of his earth five hundred yojana below Rajgriha in Magadha. In reference to giving water to the Preta, Atisa remarked: {yi dvags 'jur gegs pa zhes pa chu thig pa gcig la gzhan mi thob} those called Preta devoid of the power of digestion cannot obtain other than a drop of water. {yi dvags kyi yul} SANST, SANST the subject of the Preta, the land of Preta. {yi dvags kha 'thor ba'i gnas} the places where Pretas live in a scattered manner such as neighbourhood of human habitation, table-lands, &c. (B. ch. 5).
