ka|1
yog rgyal|1144?
yog gcin|1144?
yog po|1144?
yong|1144?
yong nge|1144?
yong chad|1144?
yong ba|1144?
yong ye|1144?
yongs|1144?
yongs dkris|1144?
yongs skyob|1144?
yongs bskor|1144?
yongs khul|1144?
yongs khebs|1144?
yongs khyab|1144?
yongs gang snod|1144?
yongs grub|1144?
yongs 'gro|1145
yongs gcod|1145?
yongs 'jom|1145?
yongs 'joms|1145?
yongs rtogs|1145?
yongs gdung|1145?
yongs 'dud|1145?
yongs 'dus sa rdol|1145?
yongs 'bab|1145?
yongs sbyor|1145?
yongs 'dzin|1145?
yongs zlum mig|1145?
yongs bzang can|1145?
yongs su|1146
yongs su dag pa|1146?
yongs su 'dogs pa|1146?
yongs su 'dri|1146?
yongs su 'dren|1146?
yongs su spyod|1146?
yongs su dbang|1146?
yongs su dbul bya|1146?
yongs su smod|1146?
yongs su tshang ba|1146?
yongs su gzir ba|1146?
yod|1147
yod dgu|1147?
yod thang|1147?
yod do cog|1147?
yod pa|1147?
yod pa nyid|1147?
yon|1147?
yon gyi gnas pa|1148?
yon bsngo ba|1148?
yon chab|1148?
yon tan|1148?
yon bdag|1148?
yon po|1148?
yob|1148?
yob pa|1148?
yob yob|1148?
yom pa|1148?
yo'u chang|1148?
yor po|1148?
yor shing|1149
yol|1149?
yol go|1149?
yol ba|1149?
yos|1149?
g.yag|1149?
g.yag sde|1149?
g.yang|1149?
g.yang dkar|1150
g.yang skyo ba|1150?
g.yang khug|1150?
g.yang spru'u|1150?
g.yang ba|1150?
g.yang bum|1150?
g.yang tshe|1150?
g.yang gzhi|1150?
g.yang rong|1150?
g.yang lug|1150?
g.yang lugs|1150?
g.yang shod bong ra|1150?
g.yang sa|1150?
g.yang lha|1150?
g.yan pa|1150?
g.yab pa|1150?
g.yab mo|1150?
g.yam|1150?
g.yam pa|1150?
g.ya'|1150?
g.ya' kyi ma|1150?
g.ya' thig|1150?
g.ya' 'drul ba|1150?
g.ya' pa|1150?
g.ya' spang|1150?
g.ya' spang skyes|1151
g.ya' ba|1151?
g.ya' bzang|1151?
g.ya' bzang khri dpon|1151?
g.ya' rug pa|1151?
g.ya' shing|1151?
g.yar|1151?
g.yar khral|1151?
g.yar dam|1151?
g.yar 'dren pa|1151?
g.yar po|1151?
g.yar ba|1151?
g.yar mo thang pa|1151?
g.yar tsha|1151?
g.yar lam|1151?
g.yar len|1151?
g.yal|1151?
g.yas pa|1152
g.yi|1152?
g.yigs pa|1152?
g.yid ston|1152?
g.yu|1152?
g.yu thog pa|1152?
g.yu drug sngon mo|1153
g.yu drug stod|1153?
g.yu ldan|1153?
g.yu bur|1153?
g.yu byil|1153?
g.yu mtsho|1153?
g.yu mdzod sngon po|1153?
g.yu rung|1153?
g.yu lo|1153?
g.yug pa|1153?
g.yung|1153?
g.yung drung|1153?
g.yung drung tshul khrims|1153?
g.yung drung sems dpa'|1153?
g.yung po|1154
g.yung ba|1154?
g.yung mo|1154?
g.yur|1154?
g.yur za|1154?
g.yul kha|1154?
g.yul thang|1154?
g.yul du 'dzin|1154?
g.yul na brjid|1154?
g.yul sprod pa|1154?
g.yul ba|1154?
g.yul bzlog pa|1154?
g.yul las|1154?
g.yul bsrung|1154?
g.yeng ba|1155
g.yengs byed|1155?
g.yen|1155?
g.yem pa|1155?
g.yer kha|1155?
g.yer snyom pa|1155?
g.yer pa|1155?
g.yer po|1155?
g.yer ba|1155?
g.yer bag|1155?
g.yer ma|1155?
g.yer mo thang|1155?
g.yer shing pa|1155?
g.yel|1155?
g.yel pa|1155?
g.yel ba|1155?
g.yel ma|1155?
g.yo|1155?
g.yo 'gul|1156
g.yo can|1156?
g.yo thon|1156?
g.yo ldan|1156?
g.yo snod|1156?
g.yo ba|1156?
g.yo ba can|1156?
g.yo ba pa|1156?
g.yo ba'i sdong po|1156?
g.yo byed|1156?
g.yo med|1156?
g.yo mo|1156?
g.yo ru|1156?
g.yog|1156?
g.yog pa|1157
g.yogs|1157?
g.yod|1157?
g.yon|1157?
g.yon gyi lha|1157?
g.yon can|1157?
g.yon ma|1157?
g.yon lam|1157?
g.yob pa|1157?
g.yom thog|1157?
g.yor|1157?
g.yor che|1157?
g.yor po|1157?
g.yor ba|1158
g.yor mo|1158?
g.yor yol|1158?
g.yol ba|1158?
g.yos|1158?
ra|1159
ra gan|1159?
ra gur|1159?
ra rgyab pa|1159?
ra sgog|1159?
ra sgreng|1159?
ra chod|1159?
ra nya dza ka|1159?
ra ti gub ta|1159?
ra mda'|1160
ra 'dra|1160?
ra sdong|1160?
ra sna|1160?
ra sprod pa|1160?
ra phrod pa|1160?
ra ba|1160?
ra ba ti|1160?
ra ba stod|1160?
ra ma|1160?
ra ma ga bur|1160?
ra med|1160?
ra mo che|1160?
ra mo sha|1161
ra rtsigs khang pa|1161?
ra bzi ba|1161?
ra yi shing|1161?
ra yig|1161?
ra ri|1161?
ra res|1161?
ra ro|1161?
ra lung|1161?
ra shul|1161?
ra sa|1161?
ra sa 'phrul snang|1161?
ra sa ya na|1161?
rak ta|1161?
rag|1161?
rag chung shing|1161?
rag rdo|1161?
rag pa|1162
rag pa thang zlum|1162?
rag ma|1162?
rag tse|1162?
rag lus pa|1162?
rag sha|1163
rag shi|1163?
rags|1163?
rags pa|1163?
rang|1163?
rang rkya thub|1164
rang skyur|1164?
rang skyed|1164?
rang skyes|1164?
rang kha|1164?
rang khongs|1164?
rang ga ba|1164?
rang gir byed pa|1164?
rang grub|1164?
rang dga' pa|1164?
rang rgyal|1164?
rang rgyud|1164?
rang cha|1164?
rang stobs kyis bgrod|1164?
rang mthong|1164?
rang 'thag|1164?
rang don|1164?
rang 'dod|1164?
rang nang|1164?
rang po|1164?
rang ba|1166
rang babs|1166?
rang bu|1166?
rang byan chud pa|1166?
rang byas|1166?
rang byung|1165?
rang byon|1165?
rang dbang|1165?
rang dbang med|1165?
rang 'byor lnga|1165?
rang mo|1165?
rang rtsis|1165?
rang tshugs|1165?
rang tshod zin pa|1165?
rang gzhan|1165?
rang bzhin|1165?
rang gzugs|1165?
rang bzo|1165?
rang rig|1165?
rang rigs|1165?
rang re|1165?
rang las tha dad|1165?
rang shugs la|1165?
rang gshis|1165?
rang sa|1165?
rang sangs rgyas|1165?
rangs pa|1165?
rangs po|1165?
rad pa|1165?
rad rod|1165?
ran|1165?
ran pa|1165?
rab|1167
rab dkrus|1167?
rab bkram|1167?
rab skyed|1167?
rab skyes mang|1167?
rab bskyed|1167?
rab bskrad|1167?
rab 'khyams|1167?
rab 'khrugs|1167?
rab rgyags|1167?
rab mchog mig|1167?
rab 'joms|1167?
rab nyams pa|1167?
rab tu|1167?
rab tu skor ba|1168
rab tu bsten|1168?
rab tu gnas pa|1168?
rab tu 'byin pa|1168?
rab tu 'byung ba|1168?
rab tu myos byed ma|1168?
rab tu tsha ba|1168?
rab tu tsha byed|1168?
rab rtogs|1168?
rab brtag|1168?
rab brtan sprin grol|1168?
rab mtho|1168?
rab gnas me tog|1168?
rab gnon|1168?
rab snang|1168?
rab spras|1168?
rab byed|1169
rab dben pa|1169?
rab 'byams|1169?
rab 'byor|1169?
rab sbyar|1169?
rab sbyor|1169?
rab mang|1169?
rab 'dzag|1169?
rab zhi|1169?
rab bzang|1169?
rab yas|1169?
rab rib|1169?
rab sad|1169?
rab sim pa|1169?
rab gsal|1169?
rabs|1169?
ram|1169?
ram gyis|1169?
ram pa|1169?
ram bu|1170
ram ma|1170?
ram tshos|1170?
rams|1170?
rtsva|1170?
ral|1170?
ral ka|1170?
ral klung|1170?
ral kha|1170?
ral khur can|1170?
ral ga|1170?
ral gu|1170?
ral gu can|1170?
ral gu zul|1170?
ral gri|1170?
ral gri'i rgyun 'dzin|1170?
ral gri'i lo ma can|1170?
ral gcig ma|1170?
ral gcod|1170?
ral lcang|1170?
ral pa|1171
ral pa can|1171?
ral pa 'dzin|1171?
ral ba|1171?
ras|1171?
ras pa|1171?
ras bal shing|1171?
ras ros|1171?
rA ma|1171?
rA hu|1171?
ri|1172
ri ka sha|1172?
ri sked|1172?
ri skyegs|1172?
ri skyes dkar mo|1172?
ri skyes ma|1172?
ri kha ba can|1172?
ri khyi|1172?
ri khrod|1172?
ri gu|1172?
ri 'gems|1172?
ri rgya|1173
ri rgyal|1173?
ri sgog|1173?
ri chen po lnga|1173?
ri 'joms|1173?
ri stong|1173?
ri thang mtshams|1173?
ri dvags|1173?
ri dvags rgyal po|1173?
ri pa|1173?
ri po ta la|1173?
ri ba|1174
ri bo|1174?
ri bo khrung khrung|1174?
ri bo gangs can|1174?
ri bo gru 'dzin|1174?
ri bo dga' ldan|1174?
ri bo che|1174?
ri bo chen po bcu|1174?
ri bo btang bzung|1174?
ri bo de shan|1174?
ri bo tsan dra ka la|1174?
ri bo rtse lnga|1174?
ri bo rin chen spungs pa|1174?
ri bong|1174?
ri bong gi rwa|1174?
ri bong za|1174?
ri bo'i rgyan|1175
ri bo'i bu mo|1175?
ri bor gyi grong|1175?
ri bya rkang|1175?
ri bya skyegs|1175?
ri byi|1175?
ri brag|1176
ri brag pa|1176?
ri brags pa|1176?
ri 'bog|1176?
ri mig|1176?
ri me'i lha mo|1176?
ri mo|1176?
ri mo mkhan|1177
ri mo can|1177?
ri mo dmar ser can|1177?
ri mo gsum pa|1177?
ri mor byed pa|1177?
ri tshag|1177?
ri rdzong|1177?
ri zhum|1177?
ri zhol|1177?
ri zhol gnas|1177?
ri 'or ba|1177?
ri yi snying po|1177?
ri yi phreng|1177?
ri yi 'od can|1177?
ri yi sras mo|1177?
ri rab|1177?
ri sho|1177?
ri srib|1177?
rig gnas bcu|1178
rig gnas bco brgyad|1178?
rig pa|1178?
rig pa can|1178?
rig pa mchog gi rgyud|1178?
rig pa mda' bsnun|1178?
rig pa ldan pa'i gnas|1178?
rig pa po|1178?
rig pa mi gsal ba|1178?
rig pa 'dzin pa|1178?
rig pa'i rgyal po'i gtso bo rnams|1178?
rig pa'i rgyal mo|1179
rig pa'i rna ba|1179?
rig byed|1179?
rig byed skyes|1179?
rig byed gdong|1179?
rig byed 'don ma|1179?
rig byed bzhi|1179?
rig byed lha mo|1179?
rig myur ma|1179?
rig 'dzin|1179?
rig 'dzin ma|1179?
rig rig|1180
rig shes|1180?
rigs|1180?
rigs kun khyab bdag|1180?
rigs kyi thu ba|1180?
rigs kyi ma|1180?
rigs rgyud|1180?
rigs brgya'i bdag|1180?
rigs ngan|1180?
rigs lnga|1180?
rigs chen|1180?
rigs nyams pa|1180?
rigs mnyam pa|1180?
rigs ldan|1180?
rigs ldan ma|1180?
rigs pa|1181
rigs byung|1181?
rigs med|1181?
rigs med pa|1181?
rigs bzhi|1181?
rigs bzang|1181?
rigs su 'gro|1181?
rigs gsum|1181?
ring gag|1181?
ring nge ba|1181?
ring thung|1181?
ring du bskul|1181?
ring du khyab|1181?
ring du mthong ba|1181?
ring nas 'gugs|1181?
ring 'phur|1181?
ring ba|1182
ring bu|1182?
ring mo skyes|1182?
ring lugs|1182?
ring bsrel|1182?
rings|1182?
rid pa|1182?
rin|1182?
rin cen|1182?
rin che ba|1182?
rin chen|1183
rin thang|1183?
rin di|1183?
rin po che|1183?
rin po che sna lnga|1183?
rin po che'i gling|1183?
rin po che'i gdugs|1183?
rin spungs|1183?
rin shas nyos|1183?
rib|1183?
rib ma|1184
rim gro|1184?
rim gro ba|1184?
rim pa|1184?
rims|1184?
ri'i rgyal po chen po bcu|1184?
ri'i rus sbal|1184?
ril|1184?
ril 'jog ma|1185
ril ting|1185?
ril por|1185?
ril ba|1185?
ril bu|1185?
ris|1185?
ru|1185?
ru nga|1186
ru rta|1186?
ru thog|1186?
ru pi|1186?
ru po|1186?
ru ba|1186?
ru ma|1186?
ru yong bza'|1186?
ru ru|1186?
ru leb|1186?
rug gi|1186?
rug ge|1186?
rug pa|1186?
rug ma|1186?
rug rug byed pa|1186?
rung khang|1186?
rung chu|1186?
rung ba|1187
rud|1187?
rub chu|1187?
rub pa|1187?
rub sho|1187?
rum|1187?
rul po|1187?
rul ba|1188
rus krang|1188?
rus chang|1188?
rus pa|1188?
rus pa'i rgyan|1188?
rus pa'i snying po|1188?
rus pa'i zong|1188?
rus pa'i gzeb|1188?
rus 'bol ba|1188?
rus sbal|1188?
rus sbal ser po|1188?
rus tshad|1188?
rus shing|1188?
re|1189
re skan|1189?
re skong|1189?
re skon|1189?
re kha|1189?
re 'khang|1189?
re gur|1189?
re gron|1190
re rgyang sha mtha'|1190?
re lcag pa|1190?
re thag chod pa|1190?
re dogs|1190?
re lde|1190?
re snam|1190?
re ba|1190?
re mos|1190?
re rma|1190?
re zhig|1190?
re ral|1190?
re re|1190?
re shig|1190?
re sa|1190?
reg pa|1190?
reg bya|1190?
reg zin|1190?
reg zegs|1191
reg bzang|1191?
regs pa|1191?
reng ba|1191?
reng bu|1191?
rengs|1191?
rengs po|1191?
red pa|1191?
reb reb pa|1191?
rem pa|1191?
rems|1191?
re'u|1191?
rel tshar|1191?
res|1191?
res 'ga'|1192
res gcig|1192?
res po|1192?
res mos|1192?
res gza'|1192?
ro|1192?
ro nye|1193
ro ldan|1193?
ro ldan ma|1193?
ro ma|1193?
ro myang|1193?
ro myang ba|1193?
ro tsa|1193?
ro tsa ka|1193?
ro tsa skyed pa|1193?
ro btsong ba|1193?
ro tshan gsum|1193?
ro 'dzin|1193?
ro bzang ma|1193?
ro hi ta|1193?
ro hi ta ka|1193?
rog po|1193?
rog po 'joms skyes|1193?
rogs|1193?
rong|1193?
rong byams chen|1193?
rong yul|1193?
rod|1194
rod pa|1194?
rom po|1194?
ro'i gser|1194?
rol|1194?
rol rnyed|1194?
rol rta|1194?
rol gnas|1194?
rol pa|1194?
rol pa'i rdo rje|1194?
rol pa'i mtsho bdun|1194?
rol pa'i sa|1194?
rol ba|1194?
rol mo|1194?
rol mo'i dbye ba|1194?
rol rtsed ma|1194?
rwa|1194?
rwa can|1194?
rwa tshwa|1194?
rla|1195
rlag|1195?
rlag po|1195?
rlangs pa|1195?
rlangs po|1195?
rlan|1195?
rlan skyes|1195?
rlan sa 'dab ma'i gos can|1195?
rlab pa|1195?
rlabs|1195?
rlabs yas|1195?
rlam pa|1195?
rlig pa|1196
rlings|1196?
rlid|1196?
rlid bu|1196?
rlibs pa|1196?
rlugs pa|1196?
rlung|1196?
rlung 'khor ba|1196?
rlung gi rgyal mtshan|1197
rlung gi bal|1197?
rlung gi bu|1197?
rlung gi bu rgyud|1197?
rlung gi 'bras bu|1197?
rlung gi shing rta|1197?
rlung gi gshog pa can|1197?
rlung gnyis 'thung|1197?
rlung rta|1197?
rlung nag|1197?
rlung ma|1198?
rlung g.yab|1198?
rlung la dga' ba|1198?
rlung las rgyal|1198?
rlung sangs 'od la 'then|1198?
rlung gsos|1198?
rlung bsrag|1198?
rlung bsreg|1198?
rlung lha|1198?
rlubs|1198?
rlubs pa|1198?
rlog pa|1198?
rlon pa|1198?
rlobs|1198?
rlom pa|1198?
brla|1199
brla brnyan|1199?
brlag pa|1199?
brlang po|1199?
brlan pa|1199?
brlab pa|1199?
brlam pa|1199?
brlams pa|1199?
brling ba|1199?
brlug pa|1199?
brlubs|1199?
la|1201
la ka|1201?
la khyi mo|1201?
la gor|1201?
la rgya|1201?
la gcan pa|1201?
la cha|1201?
la nyung|1201?
la nye|1201?
la nye ba|1201?
la ta|1201?
la Ta|1201?
la stong|1201?
la thog|1201?
la thod|1201?
la dvags|1201?
la du|1201?
la pa sha|1201?
la po|1201?
la phug|1202
la ba|1202?
la bo che|1202?
la ma|1202?
la ma sro|1202?
la mo|1202?
la rdzas|1202?
la zlas pa|1202?
la 'ur|1202?
la 'og|1202?
la 'ong|1202?
la g.yogs|1202?
la la|1202?
la la phud|1202?
la lo la mor|1202?
la sing|1202?
la so|1202?
la sogs|1202?
lag|1203
lag rkyong|1203?
lag skyogs|1203?
lag skyong|1203?
lag khug|1203?
lag gi bla|1203?
lag gram|1203?
lag mgo|1203?
lag ngar|1203?
lag cha|1204
lag rjes|1204?
lag nya|1204?
lag nyal|1204?
lag rtags|1204?
lag stabs|1204?
lag thog|1204?
lag mthil|1204?
lag dam|1204?
lag dar|1204?
lag deb|1204?
lag bde|1204?
lag 'don|1204?
lag rdum|1204?
lag ldan|1204?
lag brda|1204?
lag bsdams|1204?
lag na rdo rje|1204?
lag na gzhong thogs|1204?
lag nor|1204?
lag snod|1204?
lag pa|1204?
lag pa brkyang ba|1204?
lag pa'i chu bo|1204?
lag dpon|1204?
lag sprod|1204?
lag bubs|1204?
lag ber|1204?
lag bris|1204?
lag mangs|1204?
lag dmar|1204?
lag btsug|1204?
lag rtsis|1204?
lag 'dzin|1204?
lag 'dzugs|1204?
lag gzungs|1204?
lag bzang ma|1204?
lag g.yog pa|1204?
lag las skyes|1204?
lag len|1204?
lag sor|1204?
lags|1204?
lags pa|1205
lags mo|1205?
lang ka|1205?
lang ka'i bdag po|1205?
lang tang|1205?
lang ba|1206
lang tsho|1206?
lang ling|1206?
lang long|1206?
lang shor|1206?
lad pa|1206?
lad mo|1206?
lan|1206?
lan skyar|1206?
lan khan|1207
lan gus|1207?
lan gyog|1207?
lan cig phyir 'ong ba|1207?
lan chags|1207?
lan ta ka|1207?
lan bu|1207?
lan bu can|1207?
lan bu ma|1207?
lan bon|1207?
lan tsha|1207?
lan tshva|1207?
lan tshwa|1207?
lan lon|1207?
lab bdar|1207?
lab pa|1208
lab rtse|1208?
lab gzhi|1208?
lab bzang|1208?
lab son|1208?
lva ba|1208?
lam|1208?
lam ka|1209
lam mkhan|1209?
lam gyi 'tsho ba|1209?
lam bgrod|1209?
lam rgyags|1209?
lam rgyud|1209?
lam rgyus pa|1209?
lam ngan pa|1209?
lam chen|1209?
lam rtags|1209?
lam rtog pa|1209?
lam ltar bcos pa|1209?
lam thog mi khal|1209?
lam mthun|1209?
lam du 'jug nyes pa|1209?
lam bde ma|1209?
lam 'dren pa|1209?
lam pa|1209?
lam pa kam|1209?
lam po|1209?
lam tsam|1209?
lam 'dzom pa|1209?
lam yig|1210
lam ring po|1210?
lam log|1210?
lam lom|1210?
lam shog|1210?
lam sangs|1210?
lam sun par byed|1210?
lam se|1210?
lam sog pa|1210?
lam srang|1210?
lam gsum 'gro|1210?
lar|1210?
lar rgya|1210?
las|1210?
las ka|1211
las kyi cho ga|1211?
las kyi 'jug pa|1211?
las kyi rtags|1211?
las kyi mtha'|1211?
las skal|1211?
las khungs|1211?
las gla|1211?
las rgyu 'bras|1211?
las sgo|1211?
las ngan|1211?
las can|1211?
las che|1211?
las rtags|1211?
las stod|1211?
las thog pa|1211?
las dang po pa|1211?
las sna tshogs|1211?
las sna tshogs can|1211?
las pa|1211?
las dpon|1211?
las spyod|1211?
las myur du byed pa'i ming|1211?
las tshan|1212
las su bya ba|1212?
las gsum|1212?
li|1213
li ka|1213?
li ka ra|1213?
li ka ra shing 'phel|1213?
li khri|1213?
li ga dur|1213?
li gi skyes|1213?
li thang|1213?
li thi|1213?
li dong ra|1213?
li ba|1213?
li ma log|1213?
li tsa byi|1213?
li yul|1213?
li shi|1213?
lig bu mig|1213?
lig shi wer|1213?
ling|1213?
ling ga|1213?
ling nge|1214
ling tog|1214?
ling ba|1214?
ling tshe|1214?
ling ling|1214?
lings|1214?
lings pa|1214?
lib|1214?
lu|1214?
lu kang|1214?
lu gu|1214?
lu ba|1214?
lu ma|1214?
lu hi ta|1214?
lug|1214?
lug khyim|1215
lug gal|1215?
lug gi lo|1215?
lug gi gshed|1215?
lug ngal ba|1215?
lug pa|1215?
lug bal|1215?
lug mig|1215?
lugs|1215?
lugs gong|1215?
lugs ma|1215?
lugs zlog|1215?
lugs bzang skyes|1215?
lung|1215?
lung stong|1215?
lung bstan|1216
lung thag|1216?
lung thang|1216?
lung 'dren pa|1216?
lung pa|1216?
lung 'bogs pa|1216?
lung tshags pa|1216?
lung bzhi|1216?
lung rigs|1216?
lud|1216?
lud pa|1216?
lum pa|1216?
lum pa glong ga|1216?
lum bi|1216?
lums|1216?
lus|1216?
lus kyi 'byung ba|1216?
lus kyi reg pa|1217
lus kyi rlan|1217?
lus kyis 'thab|1217?
lus krab|1217?
lus dkar|1217?
lus skyes|1217?
lus skyob|1217?
lus bskums|1217?
lus rgyags|1217?
lus ngan|1217?
lus can|1217?
lus gcig pa|1217?
lus lcim|1217?
lus chas|1217?
lus chen|1217?
lus mchom ma|1217?
lus 'jigs med|1217?
lus nyams chung ba|1217?
lus gnyis pa|1217?
lus deng|1217?
lus rdol che|1217?
lus ldan|1217?
lus ldan ma|1217?
lus pa|1218
lus phra|1218?
lus 'phags pa|1218?
lus bongs|1218?
lus byad|1218?
lus 'bab|1218?
lus 'bod pa|1218?
lus sbas|1218?
lus ma|1218?
le khag|1218?
le 'khon|1218?
le brgan|1218?
le na|1218?
le ma|1218?
le lag|1218?
le lan|1219
le lam mkhan|1219?
le lo|1219?
legs brjod ma|1219?
legs pa|1219?
legs pa'i skar ma|1219?
legs par song|1219?
legs bshad|1219?
legs su smon pa|1219?
legs gso|1219?
legs gsol|1219?
len ka ra|1220
len pa|1220?
len pa bzhi|1220?
leb rgan|1220?
leb mo|1220?
le'u|1220?
lo|1220?
lo ka|1220?
lo rgyus|1221
lo chung|1221?
lo tog|1221?
lo tho|1221?
lo thog|1221?
lo du thal|1221?
lo dong|1221?
lo 'dab|1221?
lo 'dod|1221?
lo nag|1221?
lo phyag|1221?
lo phyugs legs pa|1221?
lo ma|1221?
lo ma kha|1222
lo ma lnga|1222?
lo ma bzang|1222?
lo ma gsum pa|1222?
lo mang khur ldan|1222?
lo ma'i 'khri shing|1222?
lo mar|1222?
lo mo|1222?
lo tsA|1222?
lo tshan|1222?
lo yi shing rta|1222?
lo legs|1222?
lo shug kha|1222?
lo shes|1222?
lo bshad|1222?
log ge ba|1223
log lta|1223?
log thang|1223?
log 'dren bgegs kyi rgyal po|1223?
log pa|1223?
log pa cha 'dzin gyi spyod pa|1223?
log pa nyid du nges pa|1223?
log pa dud 'gro'i spyod pa can|1223?
log pa'i blo gros|1223?
log par sgrub|1223?
log par spobs|1223?
log par 'tsho ba|1223?
log par bzhugs pa|1223?
log par lhung ba|1223?
log smon can|1223?
log smra|1224
log gzhal|1224?
log g.yem|1224?
log shes|1224?
log sred can|1224?
logs|1224?
logs skyes|1224?
logs bcas|1224?
logs chen po'i ri|1224?
logs na yod pa|1224?
logs pa|1224?
logs su|1224?
long|1224?
long ka|1224?
long ki|1224?
long po stod|1224?
long ba|1225
long bu|1225?
long long|1225?
longs|1225?
longs spyod|1225?
lod pa|1225?
lod rigs|1225?
lon|1225?
lon pa|1225?
los|1225?
sha|1226
sha ka|1226?
sha ka ma|1226?
sha ka shi la|1226?
sha kon|1226?
sha skad|1226?
sha khug|1226?
sha khog|1226?
sha khyi|1226?
sha khra|1226?
sha khrag|1226?
sha 'khon|1226?
sha gang|1226?
sha gos|1226?
sha 'gugs|1226?
sha rgyags|1226?
sha sngon can|1227
sha can|1227?
sha chu|1227?
sha chen|1227?
sha rjen za|1227?
sha nye|1227?
sha ta|1227?
sha sta|1227?
sha stag|1227?
sha dus|1227?
sha na|1229
sha pos|1229?
sha phing|1229?
sha pho ru rta|1229?
sha ba rna ba|1229?
sha ba ri|1229?
sha ba ri pa|1229?
sha bur|1229?
sha bo|1229?
sha 'bu|1229?
sha sbyang|1229?
sha sbrang|1229?
sha ma|1229?
sha med|1229?
sha mo|1229?
sha rmen|1229?
sha rtsi|1229?
sha tsha|1229?
sha tshe|1229?
sha mtshan|1229?
sha 'dzer|1229?
sha za|1229?
sha za'i gling|1228
sha zug|1228?
sha zong|1228?
sha gzig bdu|1228?
sha 'ug stag sgo|1228?
sha yi mchog|1228?
sha yi lus bcud|1228?
sha ra pa|1228?
sha ra 'bigs byed|1228?
sha ra sho re|1228?
sha rag|1228?
sha rar|1228?
sha la yu ring|1228?
sha la g.yu ri|1228?
sha lan|1228?
sha li ho ta|1228?
sha log|1228?
sha shang|1228?
sha shan|1228?
sha bshags|1228?
sha srab|1228?
sha lhag|1228?
shag|1228?
shag ti|1228?
shag ma|1230
shag shag|1230?
shags|1230?
shang|1230?
shang kar|1230?
shang kha|1230?
shang thag|1230?
shang lang|1230?
shang shang|1230?
shang shongs|1230?
shangs|1230?
shad|1230?
shad pa|1230?
shad yar|1230?
shan|1230?
shan ja|1230?
shan ti pa|1230?
shan di la|1230?
shan dung|1230?
shan pa|1231
shan dmar|1231?
shab|1231?
shab shub|1231?
shva ba|1231?
sham|1231?
sham thabs sngon po can|1231?
sham bha la|1231?
sham b+ha la|1231?
shar|1231?
shar kha|1231?
shar gyi gnam dmag|1231?
shar gyis|1232
shar 'gyur byed|1232?
shar rgya mtsho chen po|1232?
shar sgo me long gling|1232?
shar ja|1232?
shar pa|1232?
shar po|1232?
shar ba|1232?
shar ma|1232?
shar ras|1232?
shal dkar|1232?
shal ba|1232?
shal ma|1232?
shal ma li|1232?
shas|1232?
shas che|1232?
shA kya|1232?
shA ri'i bu|1232?
shi ka|1232?
shi ka ko la|1232?
shi ki ma|1232?
shi ba|1233
shi ri sha|1233?
shi rig|1233?
shi rog|1233?
shi la|1233?
shi la dru|1233?
shig|1233?
shig ge ba|1233?
shig geg|1233?
shing|1233?
shing ka ku bha|1234?
shing ka pet tha|1234?
shing kir ti|1234?
shing kun|1234?
shing rkun ma'i me tog|1234?
shing sku|1234?
shing skya|1234?
shing skya nar|1234?
shing gi ba thag|1234?
shing gi mig|1234?
shing gi me tog kha phye|1234?
shing gi rtsa ba|1234?
shing gi srin bu|1234?
shing rgon|1234?
shing rgyal|1235
shing mngar|1235?
shing mngar ldan pa|1235?
shing sngon|1235?
shing bcud|1235?
shing chas|1235?
shing ta la|1235?
shing tog|1235?
shing rta|1235?
shing rta bcu pa|1235?
shing rta ma|1236
shing rta mo|1236?
shing rta'i kha lo pa|1236?
shing rta'i gnya' shing|1236?
shing rta'i lus|1236?
shing ba glang rmig pa|1236?
shing byang chub|1236?
shing 'bras bu med pa|1236?
shing mya ngan med|1236?
shing dmar|1236?
shing rma bya'i gtsug phud|1236?
shing tsha|1236?
shing tshal|1236?
shing tsher 'bras can|1236?
shing 'dzin|1236?
shing gzhong|1236?
shing gzong|1236?
shing bza' rnal 'byor ma|1236?
shing bza' a chos|1236?
shing bzo pa|1236?
shing yan lag|1236?
shing yongs 'du sa brtol|1237
shing lo|1237?
shing lo gsar du kha 'bus pa|1237?
shing sha mi|1237?
shing shi ri sha|1237?
shing shi lu|1237?
shing shun|1237?
shing sA la|1237?
shing seng ge'i mjug ma|1237?
shing sed|1237?
shing ser|1237?
shing srin|1237?
shing a ti muka ta|1237?
shing a ti muk ta|1237?
shing a pa ma rga|1238
shing u dum wa ra|1238?
shing e raN Da|1238?
shing e la ba lu ka|1238?
shid|1238?
shid bu|1238?
shid srang|1238?
shin tu|1238?
shin tu dug|1238?
shin tu byung|1238?
shin tu mi bzad ma|1238?
shin tu mi srun pa|1238?
shin tu lan tshwa ba|1238?
shin shun can|1238?
shib pa|1239
shib shi lu lu|1239?
shim pa|1239?
shim mi shim|1239?
shim sha pa|1239?
shir|1239?
shil ba|1239?
shil li|1239?
shis|1239?
shu|1239?
shu dag dkar po|1239?
shu ni ka ra na|1239?
shu ba|1239?
shu b+haM|1239?
shu mo za|1239?
shug|1239?
shug gu|1239?
shug pa|1239?
shug gtsang|1240
shug tshod|1240?
shugs|1240?
shugs skad|1240?
shugs 'gro|1240?
shugs che ba|1240?
shugs 'phyo|1240?
shung ba|1240?
shud pa|1240?
shun gling khar|1240?
shun pa|1240?
shun pa can|1240?
shun pa 'jam|1240?
shun pa dri zhim|1240?
shub pa|1241
shubs|1241?
shum pa|1241?
shur bu|1241?
shur she na|1241?
shul|1241?
